cell,role,lambda,gamma,kappa,capacity_scale,capacity_sigma,action_hhi_blend,decision_crowding_aversion
GRID_L1.0_G1.0_K1.0,literature_bounded_structural_grid,1.0,1.0,1.0,1.0,1.5,0.0,0.0
GRID_L1.0_G1.0_K1.5,literature_bounded_structural_grid,1.0,1.0,1.5,1.0,1.5,0.0,0.0
GRID_L1.0_G1.0_K2.0,literature_bounded_structural_grid,1.0,1.0,2.0,1.0,1.5,0.0,0.0
GRID_L1.0_G1.5_K1.0,literature_bounded_structural_grid,1.0,1.5,1.0,1.0,1.5,0.0,0.0
GRID_L1.0_G1.5_K1.5,literature_bounded_structural_grid,1.0,1.5,1.5,1.0,1.5,0.0,0.0
GRID_L1.0_G1.5_K2.0,literature_bounded_structural_grid,1.0,1.5,2.0,1.0,1.5,0.0,0.0
GRID_L1.0_G2.0_K1.0,literature_bounded_structural_grid,1.0,2.0,1.0,1.0,1.5,0.0,0.0
GRID_L1.0_G2.0_K1.5,literature_bounded_structural_grid,1.0,2.0,1.5,1.0,1.5,0.0,0.0
GRID_L1.0_G2.0_K2.0,literature_bounded_structural_grid,1.0,2.0,2.0,1.0,1.5,0.0,0.0
GRID_L1.5_G1.0_K1.0,literature_bounded_structural_grid,1.5,1.0,1.0,1.0,1.5,0.0,0.0
GRID_L1.5_G1.0_K1.5,literature_bounded_structural_grid,1.5,1.0,1.5,1.0,1.5,0.0,0.0
GRID_L1.5_G1.0_K2.0,literature_bounded_structural_grid,1.5,1.0,2.0,1.0,1.5,0.0,0.0
GRID_L1.5_G1.5_K1.0,literature_bounded_structural_grid,1.5,1.5,1.0,1.0,1.5,0.0,0.0
CANONICAL_IK,canonical,1.5,1.5,1.5,1.0,1.5,0.0,0.0
GRID_L1.5_G1.5_K2.0,literature_bounded_structural_grid,1.5,1.5,2.0,1.0,1.5,0.0,0.0
GRID_L1.5_G2.0_K1.0,literature_bounded_structural_grid,1.5,2.0,1.0,1.0,1.5,0.0,0.0
GRID_L1.5_G2.0_K1.5,literature_bounded_structural_grid,1.5,2.0,1.5,1.0,1.5,0.0,0.0
GRID_L1.5_G2.0_K2.0,literature_bounded_structural_grid,1.5,2.0,2.0,1.0,1.5,0.0,0.0
GRID_L2.0_G1.0_K1.0,literature_bounded_structural_grid,2.0,1.0,1.0,1.0,1.5,0.0,0.0
GRID_L2.0_G1.0_K1.5,literature_bounded_structural_grid,2.0,1.0,1.5,1.0,1.5,0.0,0.0
GRID_L2.0_G1.0_K2.0,literature_bounded_structural_grid,2.0,1.0,2.0,1.0,1.5,0.0,0.0
GRID_L2.0_G1.5_K1.0,literature_bounded_structural_grid,2.0,1.5,1.0,1.0,1.5,0.0,0.0
GRID_L2.0_G1.5_K1.5,literature_bounded_structural_grid,2.0,1.5,1.5,1.0,1.5,0.0,0.0
GRID_L2.0_G1.5_K2.0,literature_bounded_structural_grid,2.0,1.5,2.0,1.0,1.5,0.0,0.0
GRID_L2.0_G2.0_K1.0,literature_bounded_structural_grid,2.0,2.0,1.0,1.0,1.5,0.0,0.0
GRID_L2.0_G2.0_K1.5,literature_bounded_structural_grid,2.0,2.0,1.5,1.0,1.5,0.0,0.0
GRID_L2.0_G2.0_K2.0,literature_bounded_structural_grid,2.0,2.0,2.0,1.0,1.5,0.0,0.0
CAPACITY_MEAN_HALF,one_factor_capacity_mean,1.5,1.5,1.5,0.5,1.5,0.0,0.0
CAPACITY_MEAN_DOUBLE,one_factor_capacity_mean,1.5,1.5,1.5,2.0,1.5,0.0,0.0
CAPACITY_TAIL_TRUNCATED,one_factor_capacity_dispersion,1.5,1.5,1.5,1.0,0.0,0.0,0.0
CAPACITY_TAIL_MODERATE,one_factor_capacity_dispersion,1.5,1.5,1.5,1.0,0.75,0.0,0.0
CROWDING_ACTION_HHI_BLEND,previous_payoff_specification,1.5,1.5,1.5,1.0,1.5,0.3,0.0
CAPACITY_AWARE_SELECTION,strategic_capacity_boundary,1.5,1.5,1.5,1.0,1.5,0.0,1.0
